TeamID,ELO
19,1553.4611990501026
31,1566.3217421526228
3,1600.0854894331555
43,1342.0896287484386
17,1289.9301717143971
32,1529.0332932669307
25,1460.8520077422593
26,1561.3305802869643
11,1506.2365275397033
41,1555.5762910553676
14,1719.8034321960602
37,1540.258458536836
16,1682.0117644800928
6,1490.1464176034722
39,1199.3714612424205
0,1770.7056829451233
15,1720.8909519593449
29,1592.4579498621795
21,1405.4540996344804
2,1418.7757962654987
33,1613.271175042482
35,1374.6916127479365
13,1413.970393384178
30,1419.6244219241785
42,1426.3028002897236
36,1496.9845545743015
34,1312.014623403254
5,1505.5089400649406
24,1425.827963467917
23,1507.010569385639
