TeamID,ELO
13,1349.4782439448145
28,1500.0
20,1500.0
12,1500.0
43,1517.4386823347138
8,1500.0
33,1696.3702360793936
4,1500.0
41,1408.2805724500613
34,1493.278483667827
24,1472.2303028806614
2,1618.044402371405
15,1352.9834332945345
22,1500.0
35,1373.5855240548888
18,1500.0
42,1584.2996468558897
25,1484.0511820715649
11,1513.327220079048
21,1461.4265998231863
1,1500.0
17,1694.8767369615582
19,1634.8095237071786
44,1500.0
0,1369.378269976324
5,1333.95614091865
30,1481.7551100388632
3,1520.229026860848
16,1590.3465950826017
39,1520.3011023991887
31,1623.940197877208
32,1564.0992782307376
26,1386.2984158474856
14,1508.7433597839558
37,1544.9629487968518
6,1354.4458414753597
29,1611.6177227558017
36,1553.2007917204924
23,1382.244407658906
