,Season,Date,Player,Team,Game,MIN,FGM,FGA,FG3M,FG3A,FTM,FTA,ORB,DRB,RB,AST,STL,BLK,TOV,PF,PTS
0,1,2005-11-01,4092,35,0,16.615,1,4,0,0,0,0,0,1,1,1,2,0,1,2,2
1,1,2005-11-01,1393,0,2,36.6,11,18,1,3,4,5,0,10,10,4,2,2,0,2,27
2,1,2005-11-01,2018,0,2,26.8,1,3,0,2,0,0,1,1,2,3,1,0,1,3,2
3,1,2005-11-01,3140,0,2,13.3617,2,8,0,4,1,2,0,0,0,2,0,1,0,0,5
4,1,2005-11-01,2280,0,2,3.68333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,1,2005-11-01,1359,0,2,10.65,1,2,0,0,0,0,1,1,2,0,1,1,4,2,2
6,1,2005-11-01,338,0,2,34.1,9,18,3,10,5,6,0,3,3,4,0,0,4,1,26
7,1,2005-11-01,4278,0,2,32.6167,7,14,2,5,2,2,5,7,12,6,5,1,2,2,18
8,1,2005-11-01,513,36,1,14.8,2,5,0,1,0,0,0,1,1,4,2,0,0,1,4
9,1,2005-11-01,1640,36,1,14.095,1,1,0,0,0,0,0,0,0,1,1,0,1,2,2
10,1,2005-11-01,481,36,1,38.75,7,18,1,6,4,4,0,2,2,6,2,1,1,2,19
11,1,2005-11-01,4183,36,1,4.85,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0
12,1,2005-11-01,2663,36,1,32.165,1,8,0,3,0,0,1,2,3,0,0,0,1,5,2
13,1,2005-11-01,4591,36,1,17.9083,2,6,1,2,0,0,0,2,2,2,0,0,3,0,5
14,1,2005-11-01,3075,36,1,30.5,12,16,3,4,2,2,0,4,4,3,1,0,2,0,29
15,1,2005-11-01,3978,36,1,40.9567,4,7,0,0,4,4,4,10,14,2,0,2,3,3,12
16,1,2005-11-01,3212,0,2,12.9,1,3,0,1,0,0,0,2,2,0,1,0,1,0,2
17,1,2005-11-01,1656,0,2,20.0833,1,1,0,0,0,0,1,2,3,1,0,0,3,2,2
18,1,2005-11-01,2454,0,2,9.005,1,3,0,2,0,0,0,0,0,2,1,1,0,0,2
19,1,2005-11-01,4197,14,2,17.85,4,9,3,5,0,0,0,1,1,5,4,0,0,1,11
20,1,2005-11-01,4500,14,2,35.1833,10,20,1,1,5,6,8,6,14,3,1,0,2,1,26
21,1,2005-11-01,2153,14,2,18.2717,1,4,0,0,0,0,0,4,4,1,0,0,1,3,2
22,1,2005-11-01,373,14,2,16.5667,1,4,0,0,0,0,4,4,8,0,1,2,1,3,2
23,1,2005-11-01,4103,14,2,20.8667,4,10,2,6,0,0,0,5,5,2,1,0,0,1,10
24,1,2005-11-01,3871,14,2,11.1333,2,4,0,0,2,2,3,3,6,2,0,0,2,1,6
25,1,2005-11-01,4247,14,2,3.68333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,1,2005-11-01,3659,14,2,3.68333,2,2,1,1,0,0,0,1,1,0,0,0,0,0,5
27,1,2005-11-01,3424,14,2,3.68333,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0
