TeamID,ELO
15,1608.390197354535
35,1359.5011668684288
3,1558.1679209802676
36,1618.2051803651918
0,1717.4880174531272
14,1535.499884496504
33,1600.067598586994
5,1463.6847375860293
37,1567.9258166536836
11,1344.9856243471809
25,1313.80974365571
13,1529.5970971182167
39,1608.816731361923
16,1570.4766106274853
24,1341.2227021562626
31,1503.4593738162564
17,1454.8508970436233
32,1721.0188213297517
21,1600.6028797981733
42,1569.9040159862311
43,1291.2517402818294
30,1392.8077284317076
19,1606.94985124897
34,1390.8048731563204
2,1521.7727754070772
41,1449.533826143574
6,1367.026268080117
29,1521.0551528172637
26,1376.1936297122372
23,1494.929137135327
