TeamID,ELO
13,1375.2815524026028
28,1465.530702614717
20,1609.223479957132
12,1593.4057599107118
43,1668.5091715357814
8,1402.196217429246
33,1593.4913283308754
4,1591.8703454809802
41,1641.2649963778497
34,1353.7779453469543
24,1585.3762151835606
2,1566.5218923200448
15,1359.3469085358445
22,1560.9993761140906
35,1276.5285455972091
18,1386.2068761944292
42,1316.6546247275635
25,1355.919622731563
11,1509.2648191479498
21,1640.3972060846622
1,1509.4147949389549
17,1687.6148209292785
19,1572.3706498632973
44,1510.591016786056
0,1539.9636091616544
5,1252.7438458418094
30,1700.6640583641658
3,1467.0343733389316
16,1460.7341928322185
39,1447.1010519198658
